Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
187,Phil Rizzuto,1994,13,1941,1956,5,40.8,1661,6719,5816,877,1588,239,62,38,563,149,58,651,398,1,107,2,193,0.273,0.351,0.355,0.706
164,Stan Musial,1969,22,1941,1963,24,128.1,3026,12718,10972,1949,3630,725,177,475,1951,78,31,1599,696,127,243,53,35,0.331,0.417,0.559,0.976
123,George Kell,1983,15,1943,1957,10,37.4,1795,7529,6702,880,2054,385,50,78,870,51,36,621,287,7,188,20,149,0.306,0.367,0.414,0.781
203,Red Schoendienst,1989,19,1945,1963,10,42.2,2216,9224,8479,1223,2449,427,78,84,773,89,27,606,346,15,180,19,97,0.289,0.337,0.387,0.724
128,Ralph Kiner,1975,10,1946,1955,6,49.4,1472,6256,5205,971,1451,216,39,369,1015,22,2,1011,749,1,126,7,9,0.279,0.398,0.548,0.946
18,Yogi Berra,1972,19,1946,1965,18,59.4,2120,8359,7555,1175,2150,321,49,358,1430,30,26,704,414,49,146,44,9,0.285,0.348,0.482,0.83
63,Larry Doby,1998,13,1947,1959,7,49.5,1533,6299,5348,960,1515,243,52,253,970,47,36,871,1011,19,97,25,20,0.283,0.386,0.49,0.876
191,Jackie Robinson,1962,10,1947,1956,6,61.4,1382,5804,4877,947,1518,273,54,137,734,197,30,740,291,7,113,9,104,0.311,0.409,0.474,0.883
211,Duke Snider,1980,18,1947,1964,8,66.4,2143,8237,7161,1259,2116,358,85,407,1333,99,50,971,1237,104,166,32,52,0.295,0.38,0.54,0.919
78,Nellie Fox,1997,19,1947,1965,15,48.9,2367,10351,9232,1279,2663,355,112,35,790,76,80,719,216,24,175,48,208,0.288,0.348,0.363,0.71
32,Roy Campanella,1969,10,1948,1957,8,34.1,1215,4815,4205,627,1161,178,18,242,856,25,15,533,501,30,143,18,30,0.276,0.36,0.5,0.86
9,Richie Ashburn,1995,15,1948,1962,6,63.9,2189,9736,8365,1322,2574,317,109,29,586,234,92,1198,571,25,83,18,112,0.308,0.396,0.382,0.778
143,Mickey Mantle,1974,18,1951,1968,20,110.2,2401,9907,8102,1676,2415,344,72,536,1509,153,38,1733,1710,126,113,47,14,0.298,0.421,0.557,0.977
151,Willie Mays,1979,22,1951,1973,24,156.3,2992,12496,10881,2062,3283,523,140,660,1903,338,103,1464,1526,192,251,91,13,0.302,0.384,0.557,0.941
149,Eddie Mathews,1978,17,1952,1968,12,96.4,2391,10100,8537,1509,2315,354,72,512,1453,68,39,1444,1487,107,123,58,36,0.271,0.376,0.509,0.885
14,Ernie Banks,1977,19,1953,1971,14,67.4,2528,10394,9421,1305,2583,407,90,512,1636,50,53,763,1236,198,229,96,45,0.274,0.33,0.5,0.83
120,Al Kaline,1980,22,1953,1974,18,92.6,2834,11596,10116,1622,3007,498,75,399,1582,137,65,1277,1020,131,271,104,45,0.297,0.376,0.48,0.855
127,Harmon Killebrew,1984,22,1954,1975,13,60.4,2435,9833,8147,1283,2086,290,24,573,1584,19,18,1559,1699,160,243,77,0,0.256,0.376,0.509,0.884
1,Hank Aaron,1982,23,1954,1976,25,142.8,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,328,121,21,0.305,0.374,0.555,0.928
